Years,State and territory,Leave entitlements,Industry,Median_Weekly_Earnings,Median Weekly Earnings Divide 10
2016,   Australian Capital Territory,Total employees,Other services,1127,112.74
2017,   New South Wales,Total employees,"Agriculture, forestry and fishing",999,99.94
2017,   New South Wales,Total employees,Mining,2213,221.32
2017,   New South Wales,Total employees,Manufacturing,1132,113.22
2017,   New South Wales,Total employees,"Electricity, gas, water and waste services",1525,152.45
2017,   New South Wales,Total employees,Construction,1200,120
2017,   New South Wales,Total employees,Wholesale trade,1309,130.9
2017,   New South Wales,Total employees,Retail trade,1055,105.5
2017,   New South Wales,Total employees,Accommodation and food services,1000,100
2017,   New South Wales,Total employees,"Transport, postal and warehousing",1269,126.93
2017,   New South Wales,Total employees,Information Media and telecommunications,1419,141.85
2017,   New South Wales,Total employees,Financial and insurance services,1709,170.85
2017,   New South Wales,Total employees,"Rental, hiring and real estate services",1500,150
2017,   New South Wales,Total employees,"Professional, scientific and technical services",1726,172.6
2017,   New South Wales,Total employees,Administrative and support services,1109,110.85
2017,   New South Wales,Total employees,Public administration and safety,1500,150
2017,   New South Wales,Total employees,Education and training,1442,144.2
2017,   New South Wales,Total employees,Health care and social assistance,1200,120
2017,   New South Wales,Total employees,Arts and recreation services,1100,110.02
2017,   New South Wales,Total employees,Other services,1099,109.86
2017,   Victoria,Total employees,"Agriculture, forestry and fishing",1000,100
2017,   Victoria,Total employees,Mining,2461,246.14
2017,   Victoria,Total employees,Manufacturing,1151,115.07
2017,   Victoria,Total employees,"Electricity, gas, water and waste services",1440,144.03
2017,   Victoria,Total employees,Construction,1283,128.33
2017,   Victoria,Total employees,Wholesale trade,1153,115.31
2017,   Victoria,Total employees,Retail trade,1030,103.01
2017,   Victoria,Total employees,Accommodation and food services,969,96.92
2017,   Victoria,Total employees,"Transport, postal and warehousing",1300,130
2017,   Victoria,Total employees,Information Media and telecommunications,1485,148.49
2017,   Victoria,Total employees,Financial and insurance services,1500,150
2017,   Victoria,Total employees,"Rental, hiring and real estate services",1239,123.86
2017,   Victoria,Total employees,"Professional, scientific and technical services",1517,151.65
2017,   Victoria,Total employees,Administrative and support services,1238,123.79
2017,   Victoria,Total employees,Public administration and safety,1521,152.09
2017,   Victoria,Total employees,Education and training,1461,146.11
2017,   Victoria,Total employees,Health care and social assistance,1150,115
2017,   Victoria,Total employees,Arts and recreation services,1287,128.68
2017,   Victoria,Total employees,Other services,1127,112.7
2017,   Queensland,Total employees,"Agriculture, forestry and fishing",923,92.26
2017,   Queensland,Total employees,Mining,2071,207.1
2017,   Queensland,Total employees,Manufacturing,1197,119.71
2017,   Queensland,Total employees,"Electricity, gas, water and waste services",1694,169.36
2017,   Queensland,Total employees,Construction,1334,133.35
2017,   Queensland,Total employees,Wholesale trade,1200,120
2017,   Queensland,Total employees,Retail trade,998,99.83
2017,   Queensland,Total employees,Accommodation and food services,1000,100
2017,   Queensland,Total employees,"Transport, postal and warehousing",1348,134.79
2017,   Queensland,Total employees,Information Media and telecommunications,1332,133.2
2017,   Queensland,Total employees,Financial and insurance services,1250,125
2017,   Queensland,Total employees,"Rental, hiring and real estate services",1100,110
2017,   Queensland,Total employees,"Professional, scientific and technical services",1500,150
2017,   Queensland,Total employees,Administrative and support services,998,99.78
2017,   Queensland,Total employees,Public administration and safety,1482,148.16
2017,   Queensland,Total employees,Education and training,1516,151.6
2017,   Queensland,Total employees,Health care and social assistance,1200,120
2017,   Queensland,Total employees,Arts and recreation services,1114,111.38
2017,   Queensland,Total employees,Other services,1065,106.47
2017,   South Australia,Total employees,"Agriculture, forestry and fishing",900,90
2017,   South Australia,Total employees,Mining,1910,190.97
2017,   South Australia,Total employees,Manufacturing,1068,106.84
2017,   South Australia,Total employees,"Electricity, gas, water and waste services",1603,160.34
2017,   South Australia,Total employees,Construction,1151,115.14
2017,   South Australia,Total employees,Wholesale trade,1198,119.79
2017,   South Australia,Total employees,Retail trade,1000,100
2017,   South Australia,Total employees,Accommodation and food services,910,91.01
2017,   South Australia,Total employees,"Transport, postal and warehousing",1259,125.86
2017,   South Australia,Total employees,Information Media and telecommunications,1261,126.09
2017,   South Australia,Total employees,Financial and insurance services,1250,125
2017,   South Australia,Total employees,"Rental, hiring and real estate services",974,97.41
2017,   South Australia,Total employees,"Professional, scientific and technical services",1200,119.95
2017,   South Australia,Total employees,Administrative and support services,951,95.08
2017,   South Australia,Total employees,Public administration and safety,1500,150
2017,   South Australia,Total employees,Education and training,1500,150
2017,   South Australia,Total employees,Health care and social assistance,1200,120
2017,   South Australia,Total employees,Arts and recreation services,1212,121.23
2017,   South Australia,Total employees,Other services,1007,100.65
2017,   Western Australia,Total employees,"Agriculture, forestry and fishing",983,98.27
2017,   Western Australia,Total employees,Mining,2155,215.47
2017,   Western Australia,Total employees,Manufacturing,1344,134.38
2017,   Western Australia,Total employees,"Electricity, gas, water and waste services",1612,161.2
2017,   Western Australia,Total employees,Construction,1400,140
2017,   Western Australia,Total employees,Wholesale trade,1230,123.01
2017,   Western Australia,Total employees,Retail trade,1100,110
2017,   Western Australia,Total employees,Accommodation and food services,950,95
2017,   Western Australia,Total employees,"Transport, postal and warehousing",1425,142.46
2017,   Western Australia,Total employees,Information Media and telecommunications,1173,117.32
2017,   Western Australia,Total employees,Financial and insurance services,1396,139.57
2017,   Western Australia,Total employees,"Rental, hiring and real estate services",1379,137.86
2017,   Western Australia,Total employees,"Professional, scientific and technical services",1519,151.91
2017,   Western Australia,Total employees,Administrative and support services,1471,147.07
2017,   Western Australia,Total employees,Public administration and safety,1500,150
2017,   Western Australia,Total employees,Education and training,1611,161.1
2017,   Western Australia,Total employees,Health care and social assistance,1324,132.4
2017,   Western Australia,Total employees,Arts and recreation services,1115,111.49
2017,   Western Australia,Total employees,Other services,1182,118.21
2017,   Tasmania,Total employees,"Agriculture, forestry and fishing",1111,111.1
2017,   Tasmania,Total employees,Mining,1954,195.43
2017,   Tasmania,Total employees,Manufacturing,1124,112.37
2017,   Tasmania,Total employees,"Electricity, gas, water and waste services",1500,150
2017,   Tasmania,Total employees,Construction,1192,119.24
2017,   Tasmania,Total employees,Wholesale trade,1072,107.15
2017,   Tasmania,Total employees,Retail trade,900,90
2017,   Tasmania,Total employees,Accommodation and food services,917,91.67
2017,   Tasmania,Total employees,"Transport, postal and warehousing",1124,112.44
2017,   Tasmania,Total employees,Information Media and telecommunications,1147,114.7
2017,   Tasmania,Total employees,Financial and insurance services,1100,109.99
2017,   Tasmania,Total employees,"Rental, hiring and real estate services",1309,130.92
2017,   Tasmania,Total employees,"Professional, scientific and technical services",1139,113.85
2017,   Tasmania,Total employees,Administrative and support services,1024,102.42
2017,   Tasmania,Total employees,Public administration and safety,1345,134.46
2017,   Tasmania,Total employees,Education and training,1530,152.97
2017,   Tasmania,Total employees,Health care and social assistance,1243,124.31
2017,   Tasmania,Total employees,Arts and recreation services,1275,127.54
2017,   Tasmania,Total employees,Other services,942,94.19
2017,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2017,   Northern Territory,Total employees,Mining,2500,250
2017,   Northern Territory,Total employees,Manufacturing,1500,150
2017,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1692,169.17
2017,   Northern Territory,Total employees,Construction,1525,152.46
2017,   Northern Territory,Total employees,Wholesale trade,961,96.11
2017,   Northern Territory,Total employees,Retail trade,1051,105.09
2017,   Northern Territory,Total employees,Accommodation and food services,1100,110
2017,   Northern Territory,Total employees,"Transport, postal and warehousing",1419,141.92
2017,   Northern Territory,Total employees,Information Media and telecommunications,1252,125.23
2017,   Northern Territory,Total employees,Financial and insurance services,1007,100.65
2017,   Northern Territory,Total employees,"Rental, hiring and real estate services",1315,131.46
2017,   Northern Territory,Total employees,"Professional, scientific and technical services",1270,127.03
2017,   Northern Territory,Total employees,Administrative and support services,890,88.97
2017,   Northern Territory,Total employees,Public administration and safety,1465,146.51
2017,   Northern Territory,Total employees,Education and training,1500,150
2017,   Northern Territory,Total employees,Health care and social assistance,1314,131.41
2017,   Northern Territory,Total employees,Arts and recreation services,1300,130
2017,   Northern Territory,Total employees,Other services,1200,120
2017,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2017,   Australian Capital Territory,Total employees,Mining,0,0
2017,   Australian Capital Territory,Total employees,Manufacturing,1356,135.57
2017,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",2405,240.46
2017,   Australian Capital Territory,Total employees,Construction,1312,131.18
2017,   Australian Capital Territory,Total employees,Wholesale trade,1162,116.21
2017,   Australian Capital Territory,Total employees,Retail trade,1000,100
2017,   Australian Capital Territory,Total employees,Accommodation and food services,950,95
2017,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1500,150
2017,   Australian Capital Territory,Total employees,Information Media and telecommunications,1372,137.15
2017,   Australian Capital Territory,Total employees,Financial and insurance services,1514,151.39
2017,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2017,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1842,184.2
2017,   Australian Capital Territory,Total employees,Administrative and support services,1021,102.1
2017,   Australian Capital Territory,Total employees,Public administration and safety,1603,160.34
2017,   Australian Capital Territory,Total employees,Education and training,1730,173
2017,   Australian Capital Territory,Total employees,Health care and social assistance,1330,133
2017,   Australian Capital Territory,Total employees,Arts and recreation services,1431,143.13
2017,   Australian Capital Territory,Total employees,Other services,1287,128.72
2018,   New South Wales,Total employees,"Agriculture, forestry and fishing",1028,102.83
2018,   New South Wales,Total employees,Mining,1877,187.66
2018,   New South Wales,Total employees,Manufacturing,1257,125.69
2018,   New South Wales,Total employees,"Electricity, gas, water and waste services",1620,162.01
2018,   New South Wales,Total employees,Construction,1400,140
2018,   New South Wales,Total employees,Wholesale trade,1339,133.87
2018,   New South Wales,Total employees,Retail trade,1029,102.91
2018,   New South Wales,Total employees,Accommodation and food services,999,99.85
2018,   New South Wales,Total employees,"Transport, postal and warehousing",1295,129.48
2018,   New South Wales,Total employees,Information Media and telecommunications,1671,167.11
2018,   New South Wales,Total employees,Financial and insurance services,1859,185.9
2018,   New South Wales,Total employees,"Rental, hiring and real estate services",1239,123.91
2018,   New South Wales,Total employees,"Professional, scientific and technical services",1726,172.6
2018,   New South Wales,Total employees,Administrative and support services,1100,109.97
2018,   New South Wales,Total employees,Public administration and safety,1500,149.98
2018,   New South Wales,Total employees,Education and training,1576,157.58
2018,   New South Wales,Total employees,Health care and social assistance,1250,125
2018,   New South Wales,Total employees,Arts and recreation services,1112,111.17
2018,   New South Wales,Total employees,Other services,1130,112.97
2018,   Victoria,Total employees,"Agriculture, forestry and fishing",1112,111.21
2018,   Victoria,Total employees,Mining,2043,204.25
2018,   Victoria,Total employees,Manufacturing,1281,128.1
2018,   Victoria,Total employees,"Electricity, gas, water and waste services",1422,142.2
2018,   Victoria,Total employees,Construction,1381,138.12
2018,   Victoria,Total employees,Wholesale trade,1196,119.61
2018,   Victoria,Total employees,Retail trade,1083,108.32
2018,   Victoria,Total employees,Accommodation and food services,965,96.48
2018,   Victoria,Total employees,"Transport, postal and warehousing",1340,134.01
2018,   Victoria,Total employees,Information Media and telecommunications,1565,156.47
2018,   Victoria,Total employees,Financial and insurance services,1659,165.91
2018,   Victoria,Total employees,"Rental, hiring and real estate services",1196,119.64
2018,   Victoria,Total employees,"Professional, scientific and technical services",1497,149.7
2018,   Victoria,Total employees,Administrative and support services,1144,114.42
2018,   Victoria,Total employees,Public administration and safety,1600,159.96
2018,   Victoria,Total employees,Education and training,1400,139.95
2018,   Victoria,Total employees,Health care and social assistance,1300,130
2018,   Victoria,Total employees,Arts and recreation services,1322,132.15
2018,   Victoria,Total employees,Other services,1100,110
2018,   Queensland,Total employees,"Agriculture, forestry and fishing",949,94.9
2018,   Queensland,Total employees,Mining,1958,195.76
2018,   Queensland,Total employees,Manufacturing,1205,120.49
2018,   Queensland,Total employees,"Electricity, gas, water and waste services",1888,188.79
2018,   Queensland,Total employees,Construction,1400,140
2018,   Queensland,Total employees,Wholesale trade,1219,121.85
2018,   Queensland,Total employees,Retail trade,974,97.4
2018,   Queensland,Total employees,Accommodation and food services,974,97.43
2018,   Queensland,Total employees,"Transport, postal and warehousing",1385,138.47
2018,   Queensland,Total employees,Information Media and telecommunications,1558,155.76
2018,   Queensland,Total employees,Financial and insurance services,1309,130.87
2018,   Queensland,Total employees,"Rental, hiring and real estate services",1203,120.27
2018,   Queensland,Total employees,"Professional, scientific and technical services",1431,143.09
2018,   Queensland,Total employees,Administrative and support services,1071,107.06
2018,   Queensland,Total employees,Public administration and safety,1500,150
2018,   Queensland,Total employees,Education and training,1455,145.5
2018,   Queensland,Total employees,Health care and social assistance,1337,133.69
2018,   Queensland,Total employees,Arts and recreation services,1252,125.17
2018,   Queensland,Total employees,Other services,1100,110
2018,   South Australia,Total employees,"Agriculture, forestry and fishing",1125,112.54
2018,   South Australia,Total employees,Mining,1896,189.61
2018,   South Australia,Total employees,Manufacturing,1200,120
2018,   South Australia,Total employees,"Electricity, gas, water and waste services",1442,144.19
2018,   South Australia,Total employees,Construction,1200,120
2018,   South Australia,Total employees,Wholesale trade,1199,119.94
2018,   South Australia,Total employees,Retail trade,1000,100
2018,   South Australia,Total employees,Accommodation and food services,1100,110
2018,   South Australia,Total employees,"Transport, postal and warehousing",1250,125
2018,   South Australia,Total employees,Information Media and telecommunications,1408,140.76
2018,   South Australia,Total employees,Financial and insurance services,1150,114.95
2018,   South Australia,Total employees,"Rental, hiring and real estate services",1173,117.27
2018,   South Australia,Total employees,"Professional, scientific and technical services",1461,146.09
2018,   South Australia,Total employees,Administrative and support services,1029,102.88
2018,   South Australia,Total employees,Public administration and safety,1500,150
2018,   South Australia,Total employees,Education and training,1575,157.5
2018,   South Australia,Total employees,Health care and social assistance,1200,120.01
2018,   South Australia,Total employees,Arts and recreation services,1024,102.38
2018,   South Australia,Total employees,Other services,1181,118.12
2018,   Western Australia,Total employees,"Agriculture, forestry and fishing",1000,100
2018,   Western Australia,Total employees,Mining,2322,232.22
2018,   Western Australia,Total employees,Manufacturing,1211,121.07
2018,   Western Australia,Total employees,"Electricity, gas, water and waste services",1701,170.12
2018,   Western Australia,Total employees,Construction,1520,151.98
2018,   Western Australia,Total employees,Wholesale trade,1369,136.94
2018,   Western Australia,Total employees,Retail trade,1018,101.83
2018,   Western Australia,Total employees,Accommodation and food services,1000,100
2018,   Western Australia,Total employees,"Transport, postal and warehousing",1458,145.79
2018,   Western Australia,Total employees,Information Media and telecommunications,1289,128.86
2018,   Western Australia,Total employees,Financial and insurance services,1433,143.26
2018,   Western Australia,Total employees,"Rental, hiring and real estate services",1274,127.44
2018,   Western Australia,Total employees,"Professional, scientific and technical services",1726,172.61
2018,   Western Australia,Total employees,Administrative and support services,1412,141.21
2018,   Western Australia,Total employees,Public administration and safety,1650,164.96
2018,   Western Australia,Total employees,Education and training,1600,160
2018,   Western Australia,Total employees,Health care and social assistance,1400,140
2018,   Western Australia,Total employees,Arts and recreation services,1093,109.3
2018,   Western Australia,Total employees,Other services,1091,109.09
2018,   Tasmania,Total employees,"Agriculture, forestry and fishing",1183,118.33
2018,   Tasmania,Total employees,Mining,1647,164.74
2018,   Tasmania,Total employees,Manufacturing,1200,120
2018,   Tasmania,Total employees,"Electricity, gas, water and waste services",1530,152.97
2018,   Tasmania,Total employees,Construction,1140,114
2018,   Tasmania,Total employees,Wholesale trade,1251,125.09
2018,   Tasmania,Total employees,Retail trade,1020,102.02
2018,   Tasmania,Total employees,Accommodation and food services,1006,100.61
2018,   Tasmania,Total employees,"Transport, postal and warehousing",1242,124.21
2018,   Tasmania,Total employees,Information Media and telecommunications,1200,120.01
2018,   Tasmania,Total employees,Financial and insurance services,1250,125
2018,   Tasmania,Total employees,"Rental, hiring and real estate services",907,90.66
2018,   Tasmania,Total employees,"Professional, scientific and technical services",1251,125.13
2018,   Tasmania,Total employees,Administrative and support services,997,99.72
2018,   Tasmania,Total employees,Public administration and safety,1500,150
2018,   Tasmania,Total employees,Education and training,1500,149.97
2018,   Tasmania,Total employees,Health care and social assistance,1246,124.55
2018,   Tasmania,Total employees,Arts and recreation services,1113,111.33
2018,   Tasmania,Total employees,Other services,978,97.77
2018,   Northern Territory,Total employees,"Agriculture, forestry and fishing",1000,100
2018,   Northern Territory,Total employees,Mining,2264,226.39
2018,   Northern Territory,Total employees,Manufacturing,1260,126.01
2018,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1863,186.33
2018,   Northern Territory,Total employees,Construction,1570,156.96
2018,   Northern Territory,Total employees,Wholesale trade,1173,117.25
2018,   Northern Territory,Total employees,Retail trade,1058,105.77
2018,   Northern Territory,Total employees,Accommodation and food services,1104,110.41
2018,   Northern Territory,Total employees,"Transport, postal and warehousing",1200,120
2018,   Northern Territory,Total employees,Information Media and telecommunications,1250,124.96
2018,   Northern Territory,Total employees,Financial and insurance services,1443,144.25
2018,   Northern Territory,Total employees,"Rental, hiring and real estate services",1596,159.6
2018,   Northern Territory,Total employees,"Professional, scientific and technical services",1711,171.13
2018,   Northern Territory,Total employees,Administrative and support services,1109,110.91
2018,   Northern Territory,Total employees,Public administration and safety,1524,152.39
2018,   Northern Territory,Total employees,Education and training,1691,169.07
2018,   Northern Territory,Total employees,Health care and social assistance,1312,131.23
2018,   Northern Territory,Total employees,Arts and recreation services,1200,120
2018,   Northern Territory,Total employees,Other services,1052,105.16
2018,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2018,   Australian Capital Territory,Total employees,Mining,0,0
2018,   Australian Capital Territory,Total employees,Manufacturing,1270,127.03
2018,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",0,0
2018,   Australian Capital Territory,Total employees,Construction,1200,120
2018,   Australian Capital Territory,Total employees,Wholesale trade,0,0
2018,   Australian Capital Territory,Total employees,Retail trade,1157,115.66
2018,   Australian Capital Territory,Total employees,Accommodation and food services,953,95.31
2018,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1398,139.75
2018,   Australian Capital Territory,Total employees,Information Media and telecommunications,0,0
2018,   Australian Capital Territory,Total employees,Financial and insurance services,1364,136.41
2018,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2018,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1850,185
2018,   Australian Capital Territory,Total employees,Administrative and support services,1254,125.39
2018,   Australian Capital Territory,Total employees,Public administration and safety,1714,171.4
2018,   Australian Capital Territory,Total employees,Education and training,1580,158
2018,   Australian Capital Territory,Total employees,Health care and social assistance,1412,141.21
2018,   Australian Capital Territory,Total employees,Arts and recreation services,0,0
2018,   Australian Capital Territory,Total employees,Other services,1078,107.81
2019,   New South Wales,Total employees,"Agriculture, forestry and fishing",1300,130
2019,   New South Wales,Total employees,Mining,2341,234.07
2019,   New South Wales,Total employees,Manufacturing,1265,126.5
2019,   New South Wales,Total employees,"Electricity, gas, water and waste services",1688,168.76
2019,   New South Wales,Total employees,Construction,1300,130
2019,   New South Wales,Total employees,Wholesale trade,1248,124.84
2019,   New South Wales,Total employees,Retail trade,1107,110.65
2019,   New South Wales,Total employees,Accommodation and food services,1000,100
2019,   New South Wales,Total employees,"Transport, postal and warehousing",1271,127.13
2019,   New South Wales,Total employees,Information Media and telecommunications,1400,140
2019,   New South Wales,Total employees,Financial and insurance services,1982,198.16
2019,   New South Wales,Total employees,"Rental, hiring and real estate services",1341,134.05
2019,   New South Wales,Total employees,"Professional, scientific and technical services",1580,158.04
2019,   New South Wales,Total employees,Administrative and support services,1250,125
2019,   New South Wales,Total employees,Public administration and safety,1700,170
2019,   New South Wales,Total employees,Education and training,1704,170.41
2019,   New South Wales,Total employees,Health care and social assistance,1250,125
2019,   New South Wales,Total employees,Arts and recreation services,1385,138.48
2019,   New South Wales,Total employees,Other services,1162,116.2
2019,   Victoria,Total employees,"Agriculture, forestry and fishing",1000,100
2019,   Victoria,Total employees,Mining,2094,209.4
2019,   Victoria,Total employees,Manufacturing,1120,112
2019,   Victoria,Total employees,"Electricity, gas, water and waste services",1654,165.4
2019,   Victoria,Total employees,Construction,1400,140
2019,   Victoria,Total employees,Wholesale trade,1150,115
2019,   Victoria,Total employees,Retail trade,1102,110.23
2019,   Victoria,Total employees,Accommodation and food services,1000,100
2019,   Victoria,Total employees,"Transport, postal and warehousing",1300,130
2019,   Victoria,Total employees,Information Media and telecommunications,1747,174.66
2019,   Victoria,Total employees,Financial and insurance services,1600,160
2019,   Victoria,Total employees,"Rental, hiring and real estate services",1145,114.49
2019,   Victoria,Total employees,"Professional, scientific and technical services",1628,162.81
2019,   Victoria,Total employees,Administrative and support services,1184,118.4
2019,   Victoria,Total employees,Public administration and safety,1550,155
2019,   Victoria,Total employees,Education and training,1500,150
2019,   Victoria,Total employees,Health care and social assistance,1310,130.95
2019,   Victoria,Total employees,Arts and recreation services,1237,123.67
2019,   Victoria,Total employees,Other services,1200,120
2019,   Queensland,Total employees,"Agriculture, forestry and fishing",1033,103.3
2019,   Queensland,Total employees,Mining,2378,237.77
2019,   Queensland,Total employees,Manufacturing,1200,120
2019,   Queensland,Total employees,"Electricity, gas, water and waste services",1732,173.24
2019,   Queensland,Total employees,Construction,1456,145.57
2019,   Queensland,Total employees,Wholesale trade,1298,129.8
2019,   Queensland,Total employees,Retail trade,1000,100
2019,   Queensland,Total employees,Accommodation and food services,1044,104.43
2019,   Queensland,Total employees,"Transport, postal and warehousing",1483,148.32
2019,   Queensland,Total employees,Information Media and telecommunications,1434,143.39
2019,   Queensland,Total employees,Financial and insurance services,1350,134.96
2019,   Queensland,Total employees,"Rental, hiring and real estate services",1179,117.86
2019,   Queensland,Total employees,"Professional, scientific and technical services",1521,152.07
2019,   Queensland,Total employees,Administrative and support services,1047,104.71
2019,   Queensland,Total employees,Public administration and safety,1500,150
2019,   Queensland,Total employees,Education and training,1500,150
2019,   Queensland,Total employees,Health care and social assistance,1260,126.04
2019,   Queensland,Total employees,Arts and recreation services,1056,105.56
2019,   Queensland,Total employees,Other services,1191,119.14
2019,   South Australia,Total employees,"Agriculture, forestry and fishing",1123,112.29
2019,   South Australia,Total employees,Mining,2075,207.51
2019,   South Australia,Total employees,Manufacturing,1237,123.66
2019,   South Australia,Total employees,"Electricity, gas, water and waste services",1710,171.02
2019,   South Australia,Total employees,Construction,1298,129.83
2019,   South Australia,Total employees,Wholesale trade,1106,110.55
2019,   South Australia,Total employees,Retail trade,972,97.17
2019,   South Australia,Total employees,Accommodation and food services,950,94.99
2019,   South Australia,Total employees,"Transport, postal and warehousing",1435,143.48
2019,   South Australia,Total employees,Information Media and telecommunications,1504,150.37
2019,   South Australia,Total employees,Financial and insurance services,1425,142.54
2019,   South Australia,Total employees,"Rental, hiring and real estate services",1117,111.66
2019,   South Australia,Total employees,"Professional, scientific and technical services",1403,140.28
2019,   South Australia,Total employees,Administrative and support services,1002,100.16
2019,   South Australia,Total employees,Public administration and safety,1427,142.71
2019,   South Australia,Total employees,Education and training,1546,154.58
2019,   South Australia,Total employees,Health care and social assistance,1200,120
2019,   South Australia,Total employees,Arts and recreation services,1144,114.39
2019,   South Australia,Total employees,Other services,1004,100.41
2019,   Western Australia,Total employees,"Agriculture, forestry and fishing",1400,140
2019,   Western Australia,Total employees,Mining,2305,230.52
2019,   Western Australia,Total employees,Manufacturing,1361,136.05
2019,   Western Australia,Total employees,"Electricity, gas, water and waste services",1752,175.18
2019,   Western Australia,Total employees,Construction,1500,150
2019,   Western Australia,Total employees,Wholesale trade,1444,144.43
2019,   Western Australia,Total employees,Retail trade,1041,104.06
2019,   Western Australia,Total employees,Accommodation and food services,1000,100
2019,   Western Australia,Total employees,"Transport, postal and warehousing",1648,164.84
2019,   Western Australia,Total employees,Information Media and telecommunications,1500,150.04
2019,   Western Australia,Total employees,Financial and insurance services,1586,158.64
2019,   Western Australia,Total employees,"Rental, hiring and real estate services",1200,120
2019,   Western Australia,Total employees,"Professional, scientific and technical services",1749,174.88
2019,   Western Australia,Total employees,Administrative and support services,1195,119.46
2019,   Western Australia,Total employees,Public administration and safety,1600,160
2019,   Western Australia,Total employees,Education and training,1600,160
2019,   Western Australia,Total employees,Health care and social assistance,1246,124.6
2019,   Western Australia,Total employees,Arts and recreation services,1250,125
2019,   Western Australia,Total employees,Other services,1497,149.73
2019,   Tasmania,Total employees,"Agriculture, forestry and fishing",1150,115
2019,   Tasmania,Total employees,Mining,1875,187.47
2019,   Tasmania,Total employees,Manufacturing,1218,121.76
2019,   Tasmania,Total employees,"Electricity, gas, water and waste services",1687,168.7
2019,   Tasmania,Total employees,Construction,1205,120.5
2019,   Tasmania,Total employees,Wholesale trade,1138,113.84
2019,   Tasmania,Total employees,Retail trade,1027,102.69
2019,   Tasmania,Total employees,Accommodation and food services,949,94.93
2019,   Tasmania,Total employees,"Transport, postal and warehousing",1200,120
2019,   Tasmania,Total employees,Information Media and telecommunications,1300,130.04
2019,   Tasmania,Total employees,Financial and insurance services,1288,128.84
2019,   Tasmania,Total employees,"Rental, hiring and real estate services",926,92.63
2019,   Tasmania,Total employees,"Professional, scientific and technical services",1273,127.31
2019,   Tasmania,Total employees,Administrative and support services,1157,115.68
2019,   Tasmania,Total employees,Public administration and safety,1500,150
2019,   Tasmania,Total employees,Education and training,1522,152.21
2019,   Tasmania,Total employees,Health care and social assistance,1264,126.39
2019,   Tasmania,Total employees,Arts and recreation services,1350,135.04
2019,   Tasmania,Total employees,Other services,1202,120.17
2019,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2019,   Northern Territory,Total employees,Mining,1805,180.51
2019,   Northern Territory,Total employees,Manufacturing,1400,140
2019,   Northern Territory,Total employees,"Electricity, gas, water and waste services",0,0
2019,   Northern Territory,Total employees,Construction,1897,189.73
2019,   Northern Territory,Total employees,Wholesale trade,1100,110
2019,   Northern Territory,Total employees,Retail trade,1000,100
2019,   Northern Territory,Total employees,Accommodation and food services,1000,100
2019,   Northern Territory,Total employees,"Transport, postal and warehousing",1260,126.01
2019,   Northern Territory,Total employees,Information Media and telecommunications,0,0
2019,   Northern Territory,Total employees,Financial and insurance services,1077,107.72
2019,   Northern Territory,Total employees,"Rental, hiring and real estate services",979,97.87
2019,   Northern Territory,Total employees,"Professional, scientific and technical services",1470,147.03
2019,   Northern Territory,Total employees,Administrative and support services,1259,125.94
2019,   Northern Territory,Total employees,Public administration and safety,1612,161.16
2019,   Northern Territory,Total employees,Education and training,1815,181.53
2019,   Northern Territory,Total employees,Health care and social assistance,1369,136.91
2019,   Northern Territory,Total employees,Arts and recreation services,1009,100.93
2019,   Northern Territory,Total employees,Other services,1342,134.17
2019,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2019,   Australian Capital Territory,Total employees,Mining,0,0
2019,   Australian Capital Territory,Total employees,Manufacturing,0,0
2019,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",0,0
2019,   Australian Capital Territory,Total employees,Construction,1400,140
2019,   Australian Capital Territory,Total employees,Wholesale trade,1419,141.91
2019,   Australian Capital Territory,Total employees,Retail trade,926,92.62
2019,   Australian Capital Territory,Total employees,Accommodation and food services,954,95.43
2019,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1474,147.36
2019,   Australian Capital Territory,Total employees,Information Media and telecommunications,1936,193.59
2019,   Australian Capital Territory,Total employees,Financial and insurance services,1761,176.14
2019,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",1509,150.93
2019,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1826,182.63
2019,   Australian Capital Territory,Total employees,Administrative and support services,1385,138.46
2019,   Australian Capital Territory,Total employees,Public administration and safety,1650,164.97
2019,   Australian Capital Territory,Total employees,Education and training,1556,155.64
2019,   Australian Capital Territory,Total employees,Health care and social assistance,1279,127.89
