Month,Labour.force.status...previous.month,Labour.force.status.current.month,Persons.current.month..000.
Dec-22,Employed full-time,Employed full-time,7216.6
Dec-22,Employed full-time,Employed part-time,329.1
Dec-22,Employed full-time,Unemployed,25.9
Dec-22,Employed full-time,Not in the labour force (NILF),106.8
Dec-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Dec-22,Employed full-time,Outgoing Rotation Group,0
Dec-22,Employed part-time,Employed full-time,441.9
Dec-22,Employed part-time,Employed part-time,2760.7
Dec-22,Employed part-time,Unemployed,32.4
Dec-22,Employed part-time,Not in the labour force (NILF),164.6
Dec-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Dec-22,Employed part-time,Outgoing Rotation Group,0
Dec-22,Unemployed,Employed full-time,30.3
Dec-22,Unemployed,Employed part-time,63.1
Dec-22,Unemployed,Unemployed,186.7
Dec-22,Unemployed,Not in the labour force (NILF),77.1
Dec-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Dec-22,Unemployed,Outgoing Rotation Group,0
Dec-22,Not in the labour force (NILF),Employed full-time,88.1
Dec-22,Not in the labour force (NILF),Employed part-time,170.7
Dec-22,Not in the labour force (NILF),Unemployed,120.4
Dec-22,Not in the labour force (NILF),Not in the labour force (NILF),5180.3
Dec-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Dec-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Dec-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,801.9
Dec-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,293.6
Dec-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,50.3
Dec-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),729.7
Dec-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Dec-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Dec-22,Incoming rotation group,Employed full-time,1199.1
Dec-22,Incoming rotation group,Employed part-time,506.7
Dec-22,Incoming rotation group,Unemployed,64.5
Dec-22,Incoming rotation group,Not in the labour force (NILF),839.3
Dec-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Dec-22,Incoming rotation group,Outgoing Rotation Group,0
Nov-22,Employed full-time,Employed full-time,7173.4
Nov-22,Employed full-time,Employed part-time,350.6
Nov-22,Employed full-time,Unemployed,26.7
Nov-22,Employed full-time,Not in the labour force (NILF),103.8
Nov-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Nov-22,Employed full-time,Outgoing Rotation Group,0
Nov-22,Employed part-time,Employed full-time,379.6
Nov-22,Employed part-time,Employed part-time,2819.4
Nov-22,Employed part-time,Unemployed,31
Nov-22,Employed part-time,Not in the labour force (NILF),159.3
Nov-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Nov-22,Employed part-time,Outgoing Rotation Group,0
Nov-22,Unemployed,Employed full-time,33.2
Nov-22,Unemployed,Employed part-time,56.7
Nov-22,Unemployed,Unemployed,194.4
Nov-22,Unemployed,Not in the labour force (NILF),90.1
Nov-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Nov-22,Unemployed,Outgoing Rotation Group,0
Nov-22,Not in the labour force (NILF),Employed full-time,110.6
Nov-22,Not in the labour force (NILF),Employed part-time,184.9
Nov-22,Not in the labour force (NILF),Unemployed,101.9
Nov-22,Not in the labour force (NILF),Not in the labour force (NILF),5261.6
Nov-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Nov-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Nov-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,764.6
Nov-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,305.8
Nov-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,50.2
Nov-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),718.5
Nov-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Nov-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Nov-22,Incoming rotation group,Employed full-time,1161.9
Nov-22,Incoming rotation group,Employed part-time,497.8
Nov-22,Incoming rotation group,Unemployed,61.1
Nov-22,Incoming rotation group,Not in the labour force (NILF),793.4
Nov-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Nov-22,Incoming rotation group,Outgoing Rotation Group,0
Oct-22,Employed full-time,Employed full-time,6927.3
Oct-22,Employed full-time,Employed part-time,318.9
Oct-22,Employed full-time,Unemployed,24.6
Oct-22,Employed full-time,Not in the labour force (NILF),115.2
Oct-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Oct-22,Employed full-time,Outgoing Rotation Group,0
Oct-22,Employed part-time,Employed full-time,351.2
Oct-22,Employed part-time,Employed part-time,2754.9
Oct-22,Employed part-time,Unemployed,28.5
Oct-22,Employed part-time,Not in the labour force (NILF),178.5
Oct-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Oct-22,Employed part-time,Outgoing Rotation Group,0
Oct-22,Unemployed,Employed full-time,34.8
Oct-22,Unemployed,Employed part-time,56.6
Oct-22,Unemployed,Unemployed,204.9
Oct-22,Unemployed,Not in the labour force (NILF),94.8
Oct-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Oct-22,Unemployed,Outgoing Rotation Group,0
Oct-22,Not in the labour force (NILF),Employed full-time,111.2
Oct-22,Not in the labour force (NILF),Employed part-time,150.6
Oct-22,Not in the labour force (NILF),Unemployed,103.2
Oct-22,Not in the labour force (NILF),Not in the labour force (NILF),5223.2
Oct-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Oct-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Oct-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,879.4
Oct-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,366.7
Oct-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,52.2
Oct-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),801.2
Oct-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Oct-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Oct-22,Incoming rotation group,Employed full-time,1212.9
Oct-22,Incoming rotation group,Employed part-time,530.4
Oct-22,Incoming rotation group,Unemployed,54.4
Oct-22,Incoming rotation group,Not in the labour force (NILF),805.8
Oct-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Oct-22,Incoming rotation group,Outgoing Rotation Group,0
Sep-22,Employed full-time,Employed full-time,7002
Sep-22,Employed full-time,Employed part-time,335.9
Sep-22,Employed full-time,Unemployed,21.8
Sep-22,Employed full-time,Not in the labour force (NILF),122.9
Sep-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Sep-22,Employed full-time,Outgoing Rotation Group,0
Sep-22,Employed part-time,Employed full-time,340
Sep-22,Employed part-time,Employed part-time,2779
Sep-22,Employed part-time,Unemployed,28.4
Sep-22,Employed part-time,Not in the labour force (NILF),178.3
Sep-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Sep-22,Employed part-time,Outgoing Rotation Group,0
Sep-22,Unemployed,Employed full-time,49.7
Sep-22,Unemployed,Employed part-time,63.7
Sep-22,Unemployed,Unemployed,194.9
Sep-22,Unemployed,Not in the labour force (NILF),85.5
Sep-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Sep-22,Unemployed,Outgoing Rotation Group,0
Sep-22,Not in the labour force (NILF),Employed full-time,98.8
Sep-22,Not in the labour force (NILF),Employed part-time,174.6
Sep-22,Not in the labour force (NILF),Unemployed,118.6
Sep-22,Not in the labour force (NILF),Not in the labour force (NILF),5202.8
Sep-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Sep-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Sep-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,844
Sep-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,319.4
Sep-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,66.9
Sep-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),798.1
Sep-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Sep-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Sep-22,Incoming rotation group,Employed full-time,1127.5
Sep-22,Incoming rotation group,Employed part-time,500.8
Sep-22,Incoming rotation group,Unemployed,61.3
Sep-22,Incoming rotation group,Not in the labour force (NILF),817.1
Sep-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Sep-22,Incoming rotation group,Outgoing Rotation Group,0
Aug-22,Employed full-time,Employed full-time,7055.9
Aug-22,Employed full-time,Employed part-time,350.3
Aug-22,Employed full-time,Unemployed,30.9
Aug-22,Employed full-time,Not in the labour force (NILF),119.4
Aug-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Aug-22,Employed full-time,Outgoing Rotation Group,0
Aug-22,Employed part-time,Employed full-time,365.8
Aug-22,Employed part-time,Employed part-time,2795.2
Aug-22,Employed part-time,Unemployed,39.8
Aug-22,Employed part-time,Not in the labour force (NILF),168.4
Aug-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Aug-22,Employed part-time,Outgoing Rotation Group,0
Aug-22,Unemployed,Employed full-time,34.3
Aug-22,Unemployed,Employed part-time,50.5
Aug-22,Unemployed,Unemployed,201.7
Aug-22,Unemployed,Not in the labour force (NILF),89.2
Aug-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Aug-22,Unemployed,Outgoing Rotation Group,0
Aug-22,Not in the labour force (NILF),Employed full-time,113.6
Aug-22,Not in the labour force (NILF),Employed part-time,176.8
Aug-22,Not in the labour force (NILF),Unemployed,101.1
Aug-22,Not in the labour force (NILF),Not in the labour force (NILF),5228.5
Aug-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Aug-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Aug-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,720.8
Aug-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,297.6
Aug-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,53.5
Aug-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),748.7
Aug-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Aug-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Aug-22,Incoming rotation group,Employed full-time,1122.7
Aug-22,Incoming rotation group,Employed part-time,511.3
Aug-22,Incoming rotation group,Unemployed,71.7
Aug-22,Incoming rotation group,Not in the labour force (NILF),836.5
Aug-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Aug-22,Incoming rotation group,Outgoing Rotation Group,0
Jul-22,Employed full-time,Employed full-time,7027.5
Jul-22,Employed full-time,Employed part-time,379.5
Jul-22,Employed full-time,Unemployed,36.1
Jul-22,Employed full-time,Not in the labour force (NILF),138.4
Jul-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jul-22,Employed full-time,Outgoing Rotation Group,0
Jul-22,Employed part-time,Employed full-time,385.7
Jul-22,Employed part-time,Employed part-time,2758.2
Jul-22,Employed part-time,Unemployed,34.7
Jul-22,Employed part-time,Not in the labour force (NILF),193.8
Jul-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jul-22,Employed part-time,Outgoing Rotation Group,0
Jul-22,Unemployed,Employed full-time,49
Jul-22,Unemployed,Employed part-time,65.5
Jul-22,Unemployed,Unemployed,188.4
Jul-22,Unemployed,Not in the labour force (NILF),89.7
Jul-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jul-22,Unemployed,Outgoing Rotation Group,0
Jul-22,Not in the labour force (NILF),Employed full-time,102.5
Jul-22,Not in the labour force (NILF),Employed part-time,179.7
Jul-22,Not in the labour force (NILF),Unemployed,107.5
Jul-22,Not in the labour force (NILF),Not in the labour force (NILF),5142.2
Jul-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jul-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Jul-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,725.7
Jul-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,301
Jul-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,45.7
Jul-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),778.3
Jul-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jul-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Jul-22,Incoming rotation group,Employed full-time,1129.1
Jul-22,Incoming rotation group,Employed part-time,480.3
Jul-22,Incoming rotation group,Unemployed,64
Jul-22,Incoming rotation group,Not in the labour force (NILF),833.7
Jul-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jul-22,Incoming rotation group,Outgoing Rotation Group,0
Jun-22,Employed full-time,Employed full-time,6997.9
Jun-22,Employed full-time,Employed part-time,343.8
Jun-22,Employed full-time,Unemployed,19.2
Jun-22,Employed full-time,Not in the labour force (NILF),115.6
Jun-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jun-22,Employed full-time,Outgoing Rotation Group,0
Jun-22,Employed part-time,Employed full-time,362.6
Jun-22,Employed part-time,Employed part-time,2819.5
Jun-22,Employed part-time,Unemployed,31.6
Jun-22,Employed part-time,Not in the labour force (NILF),151.7
Jun-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jun-22,Employed part-time,Outgoing Rotation Group,0
Jun-22,Unemployed,Employed full-time,37.5
Jun-22,Unemployed,Employed part-time,68.1
Jun-22,Unemployed,Unemployed,219.6
Jun-22,Unemployed,Not in the labour force (NILF),100.3
Jun-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jun-22,Unemployed,Outgoing Rotation Group,0
Jun-22,Not in the labour force (NILF),Employed full-time,99.1
Jun-22,Not in the labour force (NILF),Employed part-time,146.1
Jun-22,Not in the labour force (NILF),Unemployed,104
Jun-22,Not in the labour force (NILF),Not in the labour force (NILF),5128.6
Jun-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jun-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Jun-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,816
Jun-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,326.6
Jun-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,64.7
Jun-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),782.1
Jun-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jun-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Jun-22,Incoming rotation group,Employed full-time,1125.3
Jun-22,Incoming rotation group,Employed part-time,479.1
Jun-22,Incoming rotation group,Unemployed,54.3
Jun-22,Incoming rotation group,Not in the labour force (NILF),794.6
Jun-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jun-22,Incoming rotation group,Outgoing Rotation Group,0
May-22,Employed full-time,Employed full-time,6822.1
May-22,Employed full-time,Employed part-time,360.3
May-22,Employed full-time,Unemployed,25.8
May-22,Employed full-time,Not in the labour force (NILF),94.8
May-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
May-22,Employed full-time,Outgoing Rotation Group,0
May-22,Employed part-time,Employed full-time,371.7
May-22,Employed part-time,Employed part-time,2729.6
May-22,Employed part-time,Unemployed,38.2
May-22,Employed part-time,Not in the labour force (NILF),138.9
May-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
May-22,Employed part-time,Outgoing Rotation Group,0
May-22,Unemployed,Employed full-time,41.6
May-22,Unemployed,Employed part-time,53.5
May-22,Unemployed,Unemployed,233
May-22,Unemployed,Not in the labour force (NILF),91.7
May-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
May-22,Unemployed,Outgoing Rotation Group,0
May-22,Not in the labour force (NILF),Employed full-time,100.9
May-22,Not in the labour force (NILF),Employed part-time,174.8
May-22,Not in the labour force (NILF),Unemployed,102.9
May-22,Not in the labour force (NILF),Not in the labour force (NILF),5122.5
May-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
May-22,Not in the labour force (NILF),Outgoing Rotation Group,0
May-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,942.9
May-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,362.9
May-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,80.6
May-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),818.6
May-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
May-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
May-22,Incoming rotation group,Employed full-time,1113.2
May-22,Incoming rotation group,Employed part-time,495.7
May-22,Incoming rotation group,Unemployed,65.1
May-22,Incoming rotation group,Not in the labour force (NILF),773.5
May-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
May-22,Incoming rotation group,Outgoing Rotation Group,0
Apr-22,Employed full-time,Employed full-time,6949.8
Apr-22,Employed full-time,Employed part-time,339.5
Apr-22,Employed full-time,Unemployed,38.3
Apr-22,Employed full-time,Not in the labour force (NILF),130.7
Apr-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Apr-22,Employed full-time,Outgoing Rotation Group,0
Apr-22,Employed part-time,Employed full-time,427
Apr-22,Employed part-time,Employed part-time,2766.6
Apr-22,Employed part-time,Unemployed,48.6
Apr-22,Employed part-time,Not in the labour force (NILF),175.4
Apr-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Apr-22,Employed part-time,Outgoing Rotation Group,0
Apr-22,Unemployed,Employed full-time,66.2
Apr-22,Unemployed,Employed part-time,84.6
Apr-22,Unemployed,Unemployed,238.5
Apr-22,Unemployed,Not in the labour force (NILF),101.5
Apr-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Apr-22,Unemployed,Outgoing Rotation Group,0
Apr-22,Not in the labour force (NILF),Employed full-time,130.4
Apr-22,Not in the labour force (NILF),Employed part-time,166.6
Apr-22,Not in the labour force (NILF),Unemployed,112.8
Apr-22,Not in the labour force (NILF),Not in the labour force (NILF),5174.4
Apr-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Apr-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Apr-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,698.7
Apr-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,312.8
Apr-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,59.5
Apr-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),757.7
Apr-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Apr-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Apr-22,Incoming rotation group,Employed full-time,1028.9
Apr-22,Incoming rotation group,Employed part-time,470.6
Apr-22,Incoming rotation group,Unemployed,51.5
Apr-22,Incoming rotation group,Not in the labour force (NILF),790.9
Apr-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Apr-22,Incoming rotation group,Outgoing Rotation Group,0
Mar-22,Employed full-time,Employed full-time,6918.9
Mar-22,Employed full-time,Employed part-time,399.6
Mar-22,Employed full-time,Unemployed,33.7
Mar-22,Employed full-time,Not in the labour force (NILF),144.8
Mar-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Mar-22,Employed full-time,Outgoing Rotation Group,0
Mar-22,Employed part-time,Employed full-time,350.1
Mar-22,Employed part-time,Employed part-time,2783.5
Mar-22,Employed part-time,Unemployed,31.4
Mar-22,Employed part-time,Not in the labour force (NILF),167.8
Mar-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Mar-22,Employed part-time,Outgoing Rotation Group,0
Mar-22,Unemployed,Employed full-time,47.2
Mar-22,Unemployed,Employed part-time,71.2
Mar-22,Unemployed,Unemployed,269.8
Mar-22,Unemployed,Not in the labour force (NILF),102
Mar-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Mar-22,Unemployed,Outgoing Rotation Group,0
Mar-22,Not in the labour force (NILF),Employed full-time,76.3
Mar-22,Not in the labour force (NILF),Employed part-time,163.4
Mar-22,Not in the labour force (NILF),Unemployed,110.1
Mar-22,Not in the labour force (NILF),Not in the labour force (NILF),5113.4
Mar-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Mar-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Mar-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,726.3
Mar-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,289.2
Mar-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,67
Mar-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),744.3
Mar-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Mar-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Mar-22,Incoming rotation group,Employed full-time,1103.4
Mar-22,Incoming rotation group,Employed part-time,480.9
Mar-22,Incoming rotation group,Unemployed,77.8
Mar-22,Incoming rotation group,Not in the labour force (NILF),816.1
Mar-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Mar-22,Incoming rotation group,Outgoing Rotation Group,0
Feb-22,Employed full-time,Employed full-time,6819.5
Feb-22,Employed full-time,Employed part-time,356.6
Feb-22,Employed full-time,Unemployed,35.4
Feb-22,Employed full-time,Not in the labour force (NILF),88.1
Feb-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Feb-22,Employed full-time,Outgoing Rotation Group,0
Feb-22,Employed part-time,Employed full-time,449.3
Feb-22,Employed part-time,Employed part-time,2642
Feb-22,Employed part-time,Unemployed,36.8
Feb-22,Employed part-time,Not in the labour force (NILF),144
Feb-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Feb-22,Employed part-time,Outgoing Rotation Group,0
Feb-22,Unemployed,Employed full-time,61.7
Feb-22,Unemployed,Employed part-time,82.9
Feb-22,Unemployed,Unemployed,254.7
Feb-22,Unemployed,Not in the labour force (NILF),97.4
Feb-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Feb-22,Unemployed,Outgoing Rotation Group,0
Feb-22,Not in the labour force (NILF),Employed full-time,197.5
Feb-22,Not in the labour force (NILF),Employed part-time,233.6
Feb-22,Not in the labour force (NILF),Unemployed,137.9
Feb-22,Not in the labour force (NILF),Not in the labour force (NILF),5166.6
Feb-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Feb-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Feb-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,682.1
Feb-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,306.3
Feb-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,63.1
Feb-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),704
Feb-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Feb-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Feb-22,Incoming rotation group,Employed full-time,1116.6
Feb-22,Incoming rotation group,Employed part-time,490.4
Feb-22,Incoming rotation group,Unemployed,84.5
Feb-22,Incoming rotation group,Not in the labour force (NILF),793.4
Feb-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Feb-22,Incoming rotation group,Outgoing Rotation Group,0
Jan-22,Employed full-time,Employed full-time,6647.3
Jan-22,Employed full-time,Employed part-time,412.5
Jan-22,Employed full-time,Unemployed,58.5
Jan-22,Employed full-time,Not in the labour force (NILF),216.3
Jan-22,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Jan-22,Employed full-time,Outgoing Rotation Group,0
Jan-22,Employed part-time,Employed full-time,379.8
Jan-22,Employed part-time,Employed part-time,2604.5
Jan-22,Employed part-time,Unemployed,65
Jan-22,Employed part-time,Not in the labour force (NILF),279
Jan-22,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Jan-22,Employed part-time,Outgoing Rotation Group,0
Jan-22,Unemployed,Employed full-time,35.1
Jan-22,Unemployed,Employed part-time,61.3
Jan-22,Unemployed,Unemployed,220
Jan-22,Unemployed,Not in the labour force (NILF),112.4
Jan-22,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Jan-22,Unemployed,Outgoing Rotation Group,0
Jan-22,Not in the labour force (NILF),Employed full-time,96.3
Jan-22,Not in the labour force (NILF),Employed part-time,147.1
Jan-22,Not in the labour force (NILF),Unemployed,122.4
Jan-22,Not in the labour force (NILF),Not in the labour force (NILF),5115.8
Jan-22,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Jan-22,Not in the labour force (NILF),Outgoing Rotation Group,0
Jan-22,Unmatched in common sample (responded in current month but not in previous),Employed full-time,793.8
Jan-22,Unmatched in common sample (responded in current month but not in previous),Employed part-time,300.3
Jan-22,Unmatched in common sample (responded in current month but not in previous),Unemployed,71.1
Jan-22,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),723.4
Jan-22,Unmatched in common sample (responded in current month but not in previous),Unmatched in common sample (responded in current month but not in previous),0
Jan-22,Unmatched in common sample (responded in current month but not in previous),Outgoing Rotation Group,0
Jan-22,Incoming rotation group,Employed full-time,1086.4
Jan-22,Incoming rotation group,Employed part-time,514.5
Jan-22,Incoming rotation group,Unemployed,84.7
Jan-22,Incoming rotation group,Not in the labour force (NILF),852.9
Jan-22,Incoming rotation group,Unmatched in common sample (responded in current month but not in previous),0
Jan-22,Incoming rotation group,Outgoing Rotation Group,0
Dec-21,Employed full-time,Employed full-time,6781.8
Dec-21,Employed full-time,Employed part-time,333.9
Dec-21,Employed full-time,Unemployed,27.8
Dec-21,Employed full-time,Not in the labour force (NILF),107.4
Dec-21,Employed full-time,Unmatched in common sample (responded in current month but not in previous),0
Dec-21,Employed full-time,Outgoing Rotation Group,0
Dec-21,Employed part-time,Employed full-time,448.8
Dec-21,Employed part-time,Employed part-time,2720
Dec-21,Employed part-time,Unemployed,32.2
Dec-21,Employed part-time,Not in the labour force (NILF),154.5
Dec-21,Employed part-time,Unmatched in common sample (responded in current month but not in previous),0
Dec-21,Employed part-time,Outgoing Rotation Group,0
Dec-21,Unemployed,Employed full-time,44.3
Dec-21,Unemployed,Employed part-time,88.5
Dec-21,Unemployed,Unemployed,235.9
Dec-21,Unemployed,Not in the labour force (NILF),89.1
Dec-21,Unemployed,Unmatched in common sample (responded in current month but not in previous),0
Dec-21,Unemployed,Outgoing Rotation Group,0
Dec-21,Not in the labour force (NILF),Employed full-time,96
Dec-21,Not in the labour force (NILF),Employed part-time,193.6
Dec-21,Not in the labour force (NILF),Unemployed,138.8
Dec-21,Not in the labour force (NILF),Not in the labour force (NILF),5171.2
Dec-21,Not in the labour force (NILF),Unmatched in common sample (responded in current month but not in previous),0
Dec-21,Not in the labour force (NILF),Outgoing Rotation Group,0
Dec-21,Unmatched in common sample (responded in current month but not in previous),Employed full-time,643.1
Dec-21,Unmatched in common sample (responded in current month but not in previous),Employed part-time,239.7
Dec-21,Unmatched in common sample (responded in current month but not in previous),Unemployed,51.3
Dec-21,Unmatched in common sample (responded in current month but not in previous),Not in the labour force (NILF),671.8
