Suburb Name or Postcode,Employment Regions (% of population in each Area)
COOLATAI,New England and North West (100%)
COOLBELLUP,Perth South (100%)
COOLBIE,Townsville (100%)
COOLBINIA,Perth North (100%)
COOLEYS CREEK,Murray Riverina (100%)
COOLGARDIE (NSW),North Coast (100%)
COOLJARLOO,Great Southern - Wheatbelt (100%)
COOLMUNDA,Darling Downs (100%)
COOLONGOLOOK,Mid North Coast (100%)
COOLOOLA,Wide Bay and Sunshine Coast (100%)
COOLOOLA COVE,Wide Bay and Sunshine Coast (100%)
COOLOOLABIN,Wide Bay and Sunshine Coast (100%)
COOLOONGUP,Perth South (100%)
COOLRINGDON,Capital Region (100%)
COOLTONG,Murray and South East (100%)
COOLUM BEACH,Wide Bay and Sunshine Coast (100%)
COOLUMBOOKA,Capital Region (100%)
COOLUP,Perth South (100%)
COOMA (NSW),Capital Region (100%)
COOMA (VIC),Goulburn/Murray (100%)
COOMANDOOK,Murray and South East (100%)
COOMBA BAY,Mid North Coast (100%)
COOMBA PARK,Mid North Coast (100%)
COOMBABAH,Gold Coast (100%)
COOMBADJHA,North Coast (100%) 
COOMBE,Murray and South East (100%)
COOMBELL,North Coast (100%)
COOMBERDALE,Great Southern - Wheatbelt (100%)
COOMBOONA,Goulburn/Murray (100%)
COOMBS,Capital Region (100%)
COOMEALLA,Wimmera Mallee (100%)
COOMERA,Gold Coast (100%)
COOMINGLAH,Wide Bay and Sunshine Coast (100%)
COOMINYA,Wivenhoe (100%)
COOMOO,Fitzroy (100%)
COOMOO COOMOO,New England and North West (100%)
COOMOORA,Ballarat (100%)
COOMOOROO,Mid North SA (100%) 
COOMRITH,Darling Downs (100%)
COONABARABRAN,Far West Orana (100%)
COONABIDGEE,Great Southern - Wheatbelt (100%)
COONALPYN,Murray and South East (100%)
COONAMBLE,Far West Orana (100%)
COONAMBULA,Wide Bay and Sunshine Coast (100%)
COONAMIA,Mid North SA (100%)
COONARR,Wide Bay and Sunshine Coast (100%)
COONAWARRA (NT),Darwin (100%)
COONAWARRA (SA),Murray and South East (100%)
COONDLE,Great Southern - Wheatbelt (100%)
COONDOO,Wide Bay and Sunshine Coast (100%)
COONGBAR,North Coast (100%)
COONGULLA,Gippsland (100%)
COONOOER BRIDGE,Wimmera Mallee (100%)
COONOOER WEST,Wimmera Mallee (100%)
COOPERABUNG,Mid North Coast (100%)
COOPERNOOK,Mid North Coast (100%)
COOPERS CREEK,Gippsland (100%)
COOPERS GULLY,Illawarra South Coast (100%)
COOPERS PLAINS,Brisbane South East (100%)
COOPERS SHOOT,North Coast (100%)
COOPLACURRIPA,Mid North Coast (100%)
COORABELL,North Coast (100%)
COORADA,Fitzroy (100%)
COORAN,Wide Bay and Sunshine Coast (100%)
COORANBONG,Hunter (100%)
COORANGA,Darling Downs (100%)
COORIEMUNGLE,South Coast of Victoria (100%)
COOROIBAH,Wide Bay and Sunshine Coast (100%)
COORONG,Murray and South East (100%)
COOROO LANDS,Cairns (100%)
COOROOMAN,Fitzroy (100%)
COOROY,Wide Bay and Sunshine Coast (100%)
COOROY MOUNTAIN,Wide Bay and Sunshine Coast (100%)
COORPAROO,Brisbane South East (100%) 
COORUMBA,Cairns (100%)
COORUMBENE,Fitzroy (100%)
COOTAMUNDRA,Murray Riverina (100%)
COOTHARABA,Wide Bay and Sunshine Coast (100%)
COOTRALANTRA,Capital Region (100%)
COOWONGA,Fitzroy (100%)
COOYA BEACH,Cairns (100%)
COOYAL,Central West (100%)
COOYAR,Darling Downs (100%)
COPACABANA,Sydney North and West (100%)
COPE,Central West (100%)
COPE COPE,Wimmera Mallee (100%)
COPELAND,Mid North Coast (100%)
COPETON,New England and North West (100%)
COPEVILLE,Murray and South East (100%)
COPLEY (WA),Great Southern - Wheatbelt (100%)
COPMANHURST,North Coast (100%)
COPPABELLA (NSW),Murray Riverina (100%)
COPPABELLA (QLD),Mackay (100%)
COPPERHANNIA,Central West (100%)
COPPING,Hobart and Southern Tasmania (100%)
COQUETTE POINT,Cairns (100%)
CORA LYNN,South Eastern Melbourne and Peninsula (100%)
CORACK,Wimmera Mallee (100%)
CORACK EAST,Wimmera Mallee (100%)
CORAGULAC,South Coast of Victoria (100%)
CORAKI,North Coast (100%)
CORAL BANK,Goulburn/Murray (100%)
CORAL COVE,Wide Bay and Sunshine Coast (100%)
CORALVILLE,Mid North Coast (100%)
CORAMBA,Mid North Coast (100%)
CORANG,Capital Region (100%)
CORANGULA,Mid North Coast (100%)
CORBIE HILL,Murray Riverina (100%)
CORDALBA,Wide Bay and Sunshine Coast (100%)
CORDEAUX HEIGHTS,Illawarra South Coast (100%)
CORDELIA,Townsville (100%)
COREE (NSW),Murray Riverina (100%)
COREE DISTRICT,Capital Region (100%)
COREEN,Murray Riverina (100%)
CORELLA,Wide Bay and Sunshine Coast (100%)
CORINDA,Wivenhoe (100%)
CORINDHAP,Barwon (100%)
CORINDI BEACH,Mid North Coast (100%)
CORINELLA (NSW),Central West (100%)
CORINELLA (VIC),Gippsland (100%)
CORINGA,Wide Bay and Sunshine Coast (100%)
CORIO,Barwon (100%)
CORLETTE,Hunter (100%)
CORNDALE (NSW),North Coast (100%)
CORNDALE (QLD),Wide Bay and Sunshine Coast (100%)
CORNDALE (VIC),South Coast of Victoria (100%)
CORNELLA,Goulburn/Murray (100%)
CORNEY TOWN,Central West (100%)
CORNISHTOWN,Goulburn/Murray (100%)
CORNUBIA,Brisbane South East (100%)
CORNWALL (QLD),Darling Downs (100%)
CORNWALL (TAS),North and North Western Tasmania (100%)
CORNWALLIS,Sydney Greater West (100%)
CORNY POINT,Mid North SA (100%)
COROBIMILLA,Murray Riverina (100%)
COROMANDEL EAST,Adelaide South (100%)
COROMANDEL VALLEY,Adelaide South (100%)
CORONET BAY,Gippsland (100%)
COROP,Goulburn/Murray (100%)
COROROOKE,South Coast of Victoria (100%)
COROWA,Murray Riverina (100%)
CORRIGIN,Great Southern - Wheatbelt (100%)
CORRIMAL,Illawarra South Coast (100%)
CORRINGLE,Gippsland (100%)
CORRONG,Murray Riverina (100%)
CORROWONG,Capital Region (100%)
CORRYONG,Goulburn/Murray (100%)
CORUNNA,Illawarra South Coast (100%)
CORUNNUN,South Coast of Victoria (100%)
COSGROVE (QLD),Townsville (100%)
COSGROVE (VIC),Goulburn/Murray (100%)
COSGROVE SOUTH,Goulburn/Murray (100%)
COSTERFIELD,Bendigo (100%)
COTHERSTONE,Fitzroy (100%)
COTSWOLD,Ballarat (100%)
COTSWOLD HILLS,Darling Downs (100%)
COTTAGE POINT,Sydney North and West (100%)
COTTESLOE,Perth South (100%)
COTTLES BRIDGE,North Eastern Melbourne (100%)
COTTONVALE (NSW),New England and North West (100%)
COTTONVALE (QLD),Darling Downs (100%)
COUCH BEACH,Mid North SA (100%)
COUGAL,North Coast (100%)
COULSON,Wivenhoe (100%)
COUNTEGANY,Capital Region (100%)
COURABYRA,Murray Riverina (100%)
COURADDA,New England and North West (100%)
COURIDJAH,Sydney South West (100%)
COURTENAY,South West WA (100%)
COUTA ROCKS,North and North Western Tasmania (100%)
COUTTS CROSSING,North Coast (100%)
COVERTY,Wide Bay and Sunshine Coast (100%)
COW FLAT,Central West (100%)
COWABBIE,Murray Riverina (100%)
COWALELLUP,Great Southern - Wheatbelt (100%)
COWALLA,Great Southern - Wheatbelt (100%)
COWAN,Sydney North and West (100%)
COWAN COWAN,Brisbane South East (100%)
COWANDILLA,Adelaide North (100%)
COWANGIE,Wimmera Mallee (100%)
COWARAMUP,South West WA (100%)
COWCOWING,Great Southern - Wheatbelt (100%)
COWES,Gippsland (100%)
COWIRRA,Murray and South East (100%)
COWLEY,Cairns (100%)
COWLEY BEACH,Cairns (100%)
COWLEY CREEK,Cairns (100%)
COWLEYS CREEK,South Coast of Victoria (100%)
COWPER,North Coast (100%)
COWRA,Central West (100%)
COWWARR,Gippsland (100%)
COXS CREEK,Central West (100%)
COXS CROWN,Central West (100%)
COYRECUP,Great Southern - Wheatbelt (100%)
CRABBES CREEK,North Coast (100%)
CRABTREE,Hobart and Southern Tasmania (100%)
CRACE,Capital Region (100%)
CRACKENBACK,Capital Region (100%)
CRACOW,Fitzroy (100%)
CRADLE MOUNTAIN,North and North Western Tasmania (100%)
CRADOC,Hobart and Southern Tasmania (100%)
CRADOCK,CDP(76.0%);Mid North SA(24.0%)
CRAFERS,Adelaide South (100%)
CRAFERS WEST,Adelaide South (100%)
CRAIGBURN FARM,Adelaide South (100%)
CRAIGIE (NSW),Capital Region (100%)
CRAIGIE (VIC),Ballarat (100%)
CRAIGIE (WA),Perth North (100%)
CRAIGIEBURN,North Western Melbourne (100%)
CRAIGLIE,Cairns (100%)
CRAIGMORE,Adelaide North (100%)
CRAIGNISH,Wide Bay and Sunshine Coast (100%)
CRAMPHORNE,Great Southern - Wheatbelt (100%)
CRANBOURNE,South Eastern Melbourne and Peninsula (100%)
CRANBOURNE EAST,South Eastern Melbourne and Peninsula (100%)
CRANBOURNE NORTH,South Eastern Melbourne and Peninsula (100%)
CRANBOURNE SOUTH,South Eastern Melbourne and Peninsula (100%)
CRANBOURNE WEST,South Eastern Melbourne and Peninsula (100%)
CRANBROOK (QLD),Townsville (100%)
CRANBROOK (TAS),Hobart and Southern Tasmania (100%)
CRANBROOK (WA),Great Southern - Wheatbelt (100%)
CRANEBROOK,Sydney Greater West (100%)
CRANGAN BAY,Sydney North and West (100%) 
CRANLEY,Darling Downs (100%)
CRAVEN,Mid North Coast (100%)
CRAVEN PLATEAU,Mid North Coast (100%)
CRAWFORD,Wide Bay and Sunshine Coast (100%)
CRAWFORD RIVER,Mid North Coast (100%)
CRAWLEY,Perth North (100%)
CRAWNEY,Hunter(50.6%);New England and North West(49.4%)
CRAYFISH CREEK,North and North Western Tasmania (100%)
CREDITON,Mackay (100%)
CREEK JUNCTION,Goulburn/Murray (100%)
CREEK VIEW,Goulburn/Murray (100%)
CREEWAH,Capital Region (100%)
CREIGHTONS CREEK,Goulburn/Murray (100%)
CREMORNE (NSW),Sydney North and West (100%)
CREMORNE (QLD),Mackay (100%)
CREMORNE (TAS),Hobart and Southern Tasmania (100%)
CREMORNE (VIC),Inner Metropolitan Melbourne (100%)
CREMORNE POINT,Sydney North and West (100%)
CRESCENT,Murray and South East (100%)
CRESCENT HEAD,Mid North Coast (100%)
CRESSBROOK,Wivenhoe (100%)
CRESSY (TAS),North and North Western Tasmania (100%)
CRESSY (VIC),South Coast of Victoria(85.6%);Barwon(14.4%)
CRESTMEAD,Brisbane South East (100%)
CRESTWOOD,Capital Region (100%)
CRESWICK,Ballarat (100%)
CRESWICK NORTH,Ballarat (100%)
CRIB POINT,South Eastern Melbourne and Peninsula (100%)
CRINGILA,Illawarra South Coast (100%)
CRINUM,Fitzroy (100%)
CROFTBY,Wivenhoe (100%)
CROHAMHURST,Wide Bay and Sunshine Coast (100%)
CROKI,Mid North Coast (100%)
CROMARTY,Townsville (100%)
CROMER (NSW),Sydney North and West (100%)
CROMER (SA),Mid North SA(68.5%);Adelaide South(31.5%)
CRONULLA,Sydney East Metro (100%)
CROOBLE,New England and North West (100%)
CROOBYAR,Illawarra South Coast (100%)
CROOKED BROOK,South West WA (100%)
CROOKED CORNER,Capital Region (100%)
CROOKED RIVER,Gippsland (100%)
CROOKWELL,Capital Region (100%)
CROOM,Illawarra South Coast (100%)
CROPPA CREEK,New England and North West (100%)
CROSS ROADS (NSW),Central West (100%)
CROSS ROADS (SA),Mid North SA (100%)
CROSS ROADS (VIC),Ballarat (100%)
CROSSDALE,Wivenhoe (100%)
CROSSLANDS,Mid North Coast (100%)
CROSSLEY,South Coast of Victoria (100%)
CROSSMAN,Perth South (100%)
CROSSOVER,Gippsland (100%)
CROSSROADS,Darling Downs (100%)
CROUDACE BAY,Hunter (100%)
CROWDY HEAD,Mid North Coast (100%)
CROWEA,South West WA (100%)
CROWLANDS,Ballarat(91.5%);Wimmera Mallee(8.5%)
CROWLEY VALE,Wivenhoe (100%)
CROWNTHORPE,Wide Bay and Sunshine Coast (100%)
CROWS NEST (NSW),Sydney North and West (100%)
CROWS NEST (QLD),Darling Downs (100%)
CROWTHER,Capital Region (100%)
CROXTON EAST,South Coast of Victoria (100%)
CROYDON (NSW),Sydney East Metro (100%)
CROYDON (SA),Adelaide North (100%)
CROYDON (VIC),North Eastern Melbourne (100%)
CROYDON HILLS,North Eastern Melbourne (100%)
CROYDON NORTH,North Eastern Melbourne (100%)
CROYDON PARK (NSW),Sydney East Metro (100%)
CROYDON PARK (SA),Adelaide North (100%)
CROYDON SOUTH,North Eastern Melbourne (100%)
CRUDINE,Central West (100%)
CRYMELON,Wimmera Mallee (100%)
CRYNA,Brisbane South East (100%)
CRYON,Far West Orana (100%)
CRYSTAL BROOK (QLD),Mackay (100%)
CRYSTAL BROOK (SA),Mid North SA (100%)
CRYSTAL CREEK (NSW),North Coast (100%)
CRYSTAL CREEK (QLD),Townsville (100%)
CUBALLING,Great Southern - Wheatbelt (100%)
CUBBINE,Great Southern - Wheatbelt (100%)
CUCKOO,North and North Western Tasmania (100%)
CUDAL,Central West (100%)
CUDGEE,South Coast of Victoria (100%)
CUDGEGONG,Central West (100%)
CUDGEL,Murray Riverina (100%)
CUDGEN,Gold Coast (100%)
CUDGERA CREEK,North Coast (100%)
CUDGEWA,Goulburn/Murray (100%)
CUDLEE CREEK,Adelaide South (100%)
CUDMIRRAH,Illawarra South Coast (100%)
CULBURRA,Murray and South East (100%)
CULBURRA BEACH,Illawarra South Coast (100%)
CULCAIRN,Murray Riverina (100%)
CULGOA,Wimmera Mallee (100%)
CULHAM,Great Southern - Wheatbelt (100%)
CULLA,South Coast of Victoria (100%)
CULLACABARDEE,Perth North (100%)
CULLALLA,Great Southern - Wheatbelt (100%)
CULLEN,Wimmera Mallee (100%)
CULLEN BULLEN,Central West (100%)
CULLENBONE,Central West (100%)
CULLENDORE,New England and North West (100%)
CULLERIN,Capital Region (100%)
CULLINANE,Cairns (100%)
CULLIVEL,Murray Riverina (100%)
CULLULLERAINE,Wimmera Mallee (100%)
CULMARAN CREEK,North Coast (100%)
CULTANA,North West Country SA (100%)
CUMBALUM,North Coast (100%)
CUMBANDRY,Central West (100%)
CUMBERLAND PARK,Adelaide South (100%)
CUMBERLAND REACH,Sydney North and West (100%)
CUMBO,Central West (100%)
CUMBORAH,Far West Orana (100%)
CUMNOCK,Central West (100%)
CUNDARE,South Coast of Victoria (100%)
CUNDARE NORTH,South Coast of Victoria (100%)
CUNDERDIN,Great Southern - Wheatbelt (100%)
CUNDINUP,South West WA (100%)
CUNDLE FLAT,Mid North Coast (100%)
CUNDLETOWN,Mid North Coast (100%)
CUNDUMBUL,Far West Orana (100%)
CUNGULLA,Townsville (100%)
CUNJARDINE,Great Southern - Wheatbelt (100%)
CUNJURONG POINT,Illawarra South Coast (100%)
CUNLIFFE,Mid North SA (100%)
CUNNINGAR,Capital Region (100%)
CUNNINGHAM (QLD),Darling Downs (100%)
CUNNINGHAM (SA),Mid North SA (100%)
CUNNINYEUK,Murray Riverina (100%)
CUPRONA,North and North Western Tasmania (100%)
CURBAN,Far West Orana (100%)
CURDIES RIVER,South Coast of Victoria (100%)
CURDIEVALE,South Coast of Victoria (100%)
CURL CURL,Sydney North and West (100%)
CURLEW WATERS,Central West (100%)
CURLEWIS (NSW),New England and North West (100%)
CURLEWIS (VIC),Barwon (100%)
CURLWAA,Wimmera Mallee (100%)
CURRA,Wide Bay and Sunshine Coast (100%)
CURRA CREEK,Far West Orana (100%)
CURRABUBULA,New England and North West (100%)
CURRAJAH,Cairns (100%)
CURRAJONG,Townsville (100%)
CURRAMBINE,Perth North (100%)
CURRAMORE (NSW),Illawarra South Coast (100%)
CURRAMORE (QLD),Wide Bay and Sunshine Coast (100%)
CURRAMULKA,Mid North SA (100%)
CURRANS HILL,Sydney South West (100%)
CURRARONG,Illawarra South Coast (100%)
CURRAWANG,Capital Region (100%)
CURRAWARNA,Murray Riverina (100%)
CURRAWEELA,Capital Region (100%)
CURRENCY CREEK,Adelaide South (100%)
CURRICABARK,Mid North Coast (100%)
CURRIE,North and North Western Tasmania (100%)
CURRIMUNDI,Wide Bay and Sunshine Coast (100%)
CURROWAN,Illawarra South Coast (100%)
CURRUMBIN,Gold Coast (100%)
CURRUMBIN VALLEY,Gold Coast (100%)
CURRUMBIN WATERS,Gold Coast (100%)
CURTIN,Capital Region (100%)
CURTIS ISLAND,Fitzroy (100%)
CURYO,Wimmera Mallee (100%)
CUSHNIE,Wide Bay and Sunshine Coast (100%)
CUTELLA,Darling Downs (100%)
CUTHBERT,Great Southern - Wheatbelt (100%)
CUTTABRI,New England and North West (100%)
CUTTAGEE,Illawarra South Coast (100%)
CUTTLEFISH BAY,Adelaide South (100%)
CYGNET,Hobart and Southern Tasmania (100%)
CYGNET RIVER,Adelaide South (100%)
CYNTHIA,Wide Bay and Sunshine Coast (100%)
CYPRESS GARDENS,Darling Downs (100%)
D'AGUILAR,Somerset (100%)
D'ESTREES BAY,Adelaide South (100%)
DAADENNING CREEK,Great Southern - Wheatbelt (100%)
DABEE,Central West (100%)
DACEYVILLE,Sydney East Metro (100%)
DADSWELLS BRIDGE,Wimmera Mallee (100%)
DAGLISH,Perth North (100%)
DAGUN,Wide Bay and Sunshine Coast (100%)
DAIRY ARM,Hunter (100%)
DAIRY FLAT,North Coast (100%)
DAIRY PLAINS,North and North Western Tasmania (100%)
DAIRYMANS PLAINS,Capital Region (100%)
DAISY HILL (QLD),Brisbane South East (100%)
DAISY HILL (VIC),Ballarat (100%)
DAKABIN,Somerset (100%)
DAKENBA,Fitzroy (100%)
DALBEG,Townsville (100%)
DALBY,Darling Downs (100%)
DALCOUTH,Darling Downs (100%)
DALE,Great Southern - Wheatbelt (100%)
DALES CREEK,Ballarat (100%)
DALEYS POINT,Sydney North and West (100%)
DALGA,Wide Bay and Sunshine Coast (100%)
DALGETY,Capital Region (100%)
DALIAK,Great Southern - Wheatbelt (100%)
DALKEITH,Perth North (100%)
DALLARNIL,Wide Bay and Sunshine Coast (100%)
DALLAS,North Western Melbourne (100%)
DALMA,Fitzroy (100%)
DALMENY,Illawarra South Coast (100%)
DALMORE,South Eastern Melbourne and Peninsula (100%)
DALMORTON,North Coast (100%)
DALRYMPLE CREEK,Townsville (100%)
DALRYMPLE HEIGHTS,Mackay (100%)
DALSWINTON,Hunter (100%)
DALTON,Capital Region (100%)
DALTONS BRIDGE,Wimmera Mallee (100%)
DALVEEN,Darling Downs (100%)
DALWALLINU,Great Southern - Wheatbelt (100%)
DALWOGON,Darling Downs (100%)
DALWOOD (NSW 2335),Hunter (100%)
DALWOOD (NSW 2477),North Coast (100%)
DALYELLUP,South West WA (100%)
DALYSFORD,Wide Bay and Sunshine Coast (100%)
DALYSTON,Gippsland (100%)
DAMASCUS,Wide Bay and Sunshine Coast (100%)
DAMPER CREEK,Cairns (100%)
DANBULLA,Cairns (100%)
DANDALOO,Far West Orana (100%)
DANDANNING,Great Southern - Wheatbelt (100%)
DANDARAGAN,Great Southern - Wheatbelt (100%)
DANDENONG,South Eastern Melbourne and Peninsula (100%)
DANDENONG NORTH,South Eastern Melbourne and Peninsula (100%)
DANDENONG SOUTH,South Eastern Melbourne and Peninsula (100%)
DANDEROO,Darling Downs (100%)
DANDONGADALE,Goulburn/Murray (100%)
DANDRY,Far West Orana (100%)
DANGAR ISLAND,Sydney North and West (100%)
DANGARSLEIGH,New England and North West (100%)
DANGELONG,Capital Region (100%)
DANGIN,Great Southern - Wheatbelt (100%)
DANGORE,Wide Bay and Sunshine Coast (100%)
DAPTO,Illawarra South Coast (100%)
DARADGEE,Cairns (100%)
DARAWANK,Mid North Coast (100%)
DARBALARA,Murray Riverina (100%)
DARBYS FALLS,Central West (100%)
DARCH,Perth North (100%)
DARDADINE,Great Southern - Wheatbelt (100%)
DARDANUP,South West WA (100%)
DARDANUP WEST,South West WA (100%)
DARETON,Wimmera Mallee (100%)
DARGAL ROAD,Darling Downs (100%)
DARGAN,Central West (100%)
DARGO,Gippsland (100%) 
DARK CORNER,Central West (100%)
DARKAN,Great Southern - Wheatbelt (100%)
DARKES FOREST,Illawarra South Coast (100%)
DARKWOOD,Mid North Coast (100%)
DARLEY,Western Melbourne (100%)
DARLIMURLA,Gippsland (100%)
DARLING DOWNS,Perth South (100%)
DARLING HEIGHTS,Darling Downs (100%)
DARLING POINT,Sydney East Metro (100%)
DARLINGHURST,Sydney East Metro (100%)
DARLINGTON (NSW 2008),Sydney East Metro (100%)
DARLINGTON (NSW 2330),Hunter (100%)
DARLINGTON (QLD),Brisbane South East (100%)
DARLINGTON (SA),Adelaide South (100%)
DARLINGTON (VIC),South Coast of Victoria (100%)
DARLINGTON (WA),Perth North (100%)
DARLINGTON POINT,Murray Riverina (100%)
DARLOW,Murray Riverina (100%)
DARNUM,Gippsland (100%)
DAROOBALGIE,Central West (100%)
DARR CREEK,Darling Downs (100%)
DARRA,Wivenhoe (100%)
DARRADUP,South West WA (100%)
DARRAWEIT GUIM,North Western Melbourne (100%)
DARRIMAN,Gippsland (100%)
DARTBROOK,Hunter (100%)
DARTMOOR (VIC),South Coast of Victoria (100%)
DARTMOUTH,Goulburn/Murray(88.1%);Gippsland(11.9%)
DARTNALL,Great Southern - Wheatbelt (100%)
DARTS CREEK,Fitzroy (100%)
DARUKA,New England and North West (100%)
DARWIN CITY,Darwin (100%)
DATATINE,Great Southern - Wheatbelt (100%)
DAVENPORT,North West Country SA (100%)
DAVENPORT (WA),South West WA (100%)
DAVESON,Cairns (100%)
DAVEYSTON,Mid North SA (100%)
DAVIDSON,Sydney North and West (100%)
DAVIS CREEK,Hunter (100%)
DAVISTOWN,Sydney North and West (100%)
DAVOREN PARK,Adelaide North (100%)
DAW PARK,Adelaide South (100%)
DAWES POINT,Sydney East Metro (100%)
DAWESLEY,Adelaide South (100%)
DAWESVILLE,Perth South (100%)
DAWSON (SA),Mid North SA (100%)
DAWSON (VIC),Gippsland (100%)
DAYBORO,Somerset (100%)
DAYLESFORD,Ballarat (100%)
DAYMAR,Darling Downs (100%)
DAYSDALE,Murray Riverina (100%)
DAYTON,Perth North (100%)
DE MOLE RIVER,Adelaide South (100%)
DEAGON,Somerset (100%)
DEAKIN,Capital Region (100%)
DEAN,Ballarat (100%)
DEAN PARK,Sydney Greater West (100%)
DEANMILL,South West WA (100%)
DEANS MARSH,Barwon (100%)
DEAUVILLE,Mid North Coast (100%)
DECEPTION BAY,Somerset (100%)
DEDDICK VALLEY,Gippsland (100%)
DEDDINGTON,North and North Western Tasmania (100%)
DEDERANG,Goulburn/Murray (100%)
DEE,Hobart and Southern Tasmania (100%)
DEE WHY,Sydney North and West (100%)
DEEBING HEIGHTS,Wivenhoe (100%)
DEEP BAY,Hobart and Southern Tasmania (100%)
DEEP CREEK (NSW 2440),Mid North Coast (100%)
DEEP CREEK (NSW 2460),North Coast (100%)
DEEP CREEK (NSW 2469),North Coast (100%)
DEEP CREEK (QLD),Wide Bay and Sunshine Coast (100%)
DEEP CREEK (SA),Adelaide South (100%)
DEEP LEAD,Wimmera Mallee (100%)
DEEPDALE,Geraldton (100%)
DEEPDENE (VIC),Inner Metropolitan Melbourne (100%)
DEEPDENE (WA),South West WA (100%)
DEEPWATER (NSW),New England and North West (100%)
DEEPWATER (QLD),Fitzroy (100%)
DEEPWATER (SA),Murray and South East (100%)
DEER PARK,Western Melbourne (100%)
DEER VALE,Mid North Coast (100%)
DEERAGUN,Townsville (100%)
DEERAL,Cairns (100%)
DEGILBO,Wide Bay and Sunshine Coast (100%)
DELACOMBE,Ballarat (100%)
DELAHEY,Western Melbourne (100%)
DELAMERE (SA),Adelaide South (100%)
DELAN,Wide Bay and Sunshine Coast (100%)
DELANEYS CREEK,Somerset (100%)
DELATITE,Goulburn/Murray (100%)
DELBURN,Gippsland (100%)
DELEGATE,Capital Region (100%)
DELEGATE RIVER,Gippsland (100%)
DELORAINE,North and North Western Tasmania (100%)
DELUNGRA,New England and North West (100%)
DENBARKER,Great Southern - Wheatbelt (100%)
DENHAM COURT,Sydney South West (100%)
DENHAMS BEACH,Illawarra South Coast (100%)
DENICULL CREEK,Wimmera Mallee (100%)
DENILIQUIN,Murray Riverina (100%)
DENISON,Gippsland (100%)
DENISTONE,Sydney North and West (100%)
DENISTONE EAST,Sydney North and West (100%)
DENISTONE WEST,Sydney North and West (100%)
DENMAN,Hunter (100%)
DENMARK,Great Southern - Wheatbelt (100%)
DENNES POINT,Hobart and Southern Tasmania (100%)
DENNINGTON,South Coast of Victoria (100%)
DENVER,Ballarat (100%) 
DEPOT BEACH,Illawarra South Coast (100%)
DEPOT HILL,Fitzroy (100%)
DERBY (TAS),North and North Western Tasmania (100%)
DERBY (VIC),Bendigo (100%)
DEREEL,Barwon (100%)
DERGHOLM,Wimmera Mallee (100%) 
DERNANCOURT,Adelaide North (100%)
DERRI DERRA,Wide Bay and Sunshine Coast (100%)
DERRIMUT,Western Melbourne (100%)
DERRINAL,Bendigo (100%)
DERRINALLUM,South Coast of Victoria (100%)
DERRIWONG,Central West (100%)
DERRYMORE,Darling Downs (100%)
DERWENT BRIDGE,Hobart and Southern Tasmania (100%)
DERWENT PARK,Hobart and Southern Tasmania (100%)
DESERT SPRINGS,Darwin (100%)
DETENTION,North and North Western Tasmania (100%)
DEUA,Illawarra South Coast (100%)
DEUA RIVER VALLEY,Illawarra South Coast (100%)
DEUCHAR,Darling Downs (100%)
DEVENISH,Goulburn/Murray (100%)
DEVEREUX CREEK,Mackay (100%)
DEVILS HOLE,Illawarra South Coast (100%)
DEVILS RIVER,Goulburn/Murray (100%)
DEVIOT,North and North Western Tasmania (100%)
DEVLINS POUND,Murray and South East (100%)
DEVON HILLS,North and North Western Tasmania (100%)
DEVON MEADOWS,South Eastern Melbourne and Peninsula (100%)
DEVON NORTH,Gippsland (100%)
DEVON PARK (QLD),Darling Downs (100%)
DEVON PARK (SA),Adelaide North (100%)
DEVONPORT,North and North Western Tasmania (100%)
DEWARS POOL,Great Southern - Wheatbelt (100%)
DEWHURST,South Eastern Melbourne and Peninsula (100%)
DEWITT,Mid North Coast (100%)
DHARRUK,Sydney Greater West (100%)
DHULURA,Murray Riverina (100%)
DHURAGOON,Murray Riverina (100%)
DHURRINGILE,Goulburn/Murray (100%)
DIAMOND BEACH,Mid North Coast (100%)
DIAMOND CREEK,North Eastern Melbourne (100%)
DIAMOND HEAD,Mid North Coast (100%)
DIAMOND TREE,South West WA (100%)
DIAMOND VALLEY,Wide Bay and Sunshine Coast (100%)
DIAMONDVALE,Darling Downs (100%)
DIAMONDY,Darling Downs (100%)
DIANELLA,Perth North (100%)
DICKSON,Capital Region (100%)
DICKY BEACH,Wide Bay and Sunshine Coast (100%)
DIDCOT,Wide Bay and Sunshine Coast (100%)
DIDDILLIBAH,Wide Bay and Sunshine Coast (100%)
DIEHARD,New England and North West (100%)
DIGBY,South Coast of Victoria (100%)
DIGGERS CAMP,North Coast (100%)
DIGGERS REST,North Western Melbourne (100%)
DIGGORA,Goulburn/Murray (100%)
DIGLUM,Fitzroy (100%)
DIGNAMS CREEK,Illawarra South Coast (100%)
DILKOON,North Coast (100%)
DILPURRA,Murray Riverina (100%)
DILSTON,North and North Western Tasmania (100%)
DIMBOOLA,Wimmera Mallee (100%)
DINGABLEDINGA,Adelaide South (100%)
DINGEE,Bendigo (100%)
DINGLEY VILLAGE,South Eastern Melbourne and Peninsula (100%) 
DINGO,Fitzroy (100%)
DINGO BEACH,Mackay (100%)
DINGO POCKET,Cairns (100%)
DINGUP,South West WA (100%)
DINGWALL,Wimmera Mallee (100%)
DINMORE,Wivenhoe (100%)
DINNER PLAIN,Goulburn/Murray (100%)
DINNINUP,South West WA (100%)
DINOGA,New England and North West (100%)
